"Category","Price"
"07/18",44.84
"07/18",44.14
"08/18",48.05
"08/18",51.91
"08/18",51.78
"08/18",53.64
"09/18",57.98
"09/18",58.03
"09/18",58.52
"09/18",58.49
"09/18",57.71
"10/18",58.75
"10/18",62.49
"10/18",62.86
"10/18",61.48
"11/18",57.96
"11/18",58.16
"11/18",58.24
"11/18",61.37
"12/18",57.91
"12/18",61.26
"12/18",55.59
"12/18",58.93
"12/18",61.44
"01/19",61.5
"01/19",66.51
"01/19",64.02
"01/19",64.69
"02/19",67.22
"02/19",71.62
"02/19",70.97
"02/19",70.82
"03/19",67.68
"03/19",69.26
"03/19",65.01
"03/19",62.33
"03/19",67.16
"04/19",66.78
"04/19",63.19
"04/19",65.2
"04/19",66.72
"05/19",68.28
"05/19",64.33
"05/19",62.33
"05/19",59.15
"06/19",58.2
"06/19",56.17
"06/19",58.43
"06/19",59.71
"06/19",60.2
"07/19",62.8
"07/19",60.87
"07/19",59.75
"07/19",56.65
"08/19",56.55
"08/19",58.73
"08/19",56.23
"08/19",55.08
"09/19",53.64
"09/19",58.3
"09/19",57.75
"09/19",54.78
"09/19",52.81
"10/19",50.24
"10/19",48.78
"10/19",47.32
"10/19",49.48
"11/19",50.65
"11/19",53.03
"11/19",53.38
"11/19",55
"12/19",55.36
"12/19",59.66
"12/19",58.38
"12/19",57
"12/19",56.58
"01/20",55.1
"01/20",57.12
"01/20",56.6
"01/20",59.08
"02/20",63.25
"02/20",65.07
"02/20",64.06
"02/20",55.19
"03/20",57.86
"03/20",55.62
"03/20",44.47
"03/20",51.5
"03/20",52.6
"04/20",58.38
"04/20",52.33
"04/20",55.58
"04/20",55.63
"05/20",56.95
"05/20",57.3
"05/20",57.94
"05/20",62.2
"05/20",60.06
"06/20",61.21
"06/20",60.58
"06/20",58.52
"06/20",62.42
"07/20",63.21
"07/20",67.15
"07/20",62.46
"07/20",63.51
