"Category","Price"
"07/18",297.18
"07/18",348.17
"08/18",355.49
"08/18",305.5
"08/18",322.82
"08/18",301.66
"09/18",263.24
"09/18",295.2
"09/18",299.1
"09/18",264.77
"09/18",261.95
"10/18",258.78
"10/18",260
"10/18",330.9
"10/18",346.41
"11/18",350.51
"11/18",354.31
"11/18",325.83
"11/18",350.48
"12/18",357.97
"12/18",365.71
"12/18",319.77
"12/18",333.87
"12/18",317.69
"01/19",347.26
"01/19",302.26
"01/19",297.04
"01/19",312.21
"02/19",305.8
"02/19",307.88
"02/19",294.71
"02/19",294.79
"03/19",284.14
"03/19",275.43
"03/19",264.53
"03/19",279.86
"03/19",274.96
"04/19",267.7
"04/19",273.26
"04/19",235.14
"04/19",255.03
"05/19",239.52
"05/19",211.03
"05/19",190.63
"05/19",185.16
"06/19",204.5
"06/19",214.92
"06/19",221.86
"06/19",223.46
"06/19",233.1
"07/19",245.08
"07/19",258.18
"07/19",228.04
"07/19",234.34
"08/19",235.01
"08/19",219.94
"08/19",211.4
"08/19",225.61
"09/19",227.45
"09/19",245.2
"09/19",240.62
"09/19",242.13
"09/19",231.43
"10/19",247.89
"10/19",256.95
"10/19",328.13
"10/19",313.31
"11/19",337.14
"11/19",352.17
"11/19",333.04
"11/19",329.94
"12/19",335.89
"12/19",358.39
"12/19",405.59
"12/19",430.38
"12/19",443.01
"01/20",478.15
"01/20",510.5
"01/20",564.82
"01/20",650.57
"02/20",748.07
"02/20",800.03
"02/20",901
"02/20",667.99
"03/20",703.48
"03/20",546.62
"03/20",427.53
"03/20",514.36
"03/20",480.01
"04/20",573
"04/20",753.89
"04/20",725.15
"04/20",701.32
"05/20",819.42
"05/20",799.17
"05/20",816.88
"05/20",835
"05/20",885.66
"06/20",935.28
"06/20",1000.9
"06/20",959.74
"06/20",1208.66
"07/20",1544.65
"07/20",1500.84
"07/20",1417
"07/20",1539.6
