"Category","Price"
"07/18",4.05
"07/18",3.99
"08/18",3.82
"08/18",3.72
"08/18",3.94
"08/18",4.16
"09/18",3.94
"09/18",4.02
"09/18",3.92
"09/18",4.01
"09/18",4.02
"10/18",4.2
"10/18",4
"10/18",3.83
"10/18",3.76
"11/18",3.61
"11/18",3.6
"11/18",3.48
"11/18",3.62
"12/18",3.6
"12/18",3.71
"12/18",3.63
"12/18",3.89
"12/18",4.02
"01/19",4.31
"01/19",4.26
"01/19",4.38
"01/19",4.5
"02/19",4.88
"02/19",5.03
"02/19",5.03
"02/19",5.34
"03/19",5.12
"03/19",5.37
"03/19",5.29
"03/19",5.33
"03/19",5.35
"04/19",5.52
"04/19",5.44
"04/19",5.51
"04/19",6.03
"05/19",5.94
"05/19",6.19
"05/19",6.06
"05/19",6.29
"06/19",6.46
"06/19",6.2
"06/19",6.05
"06/19",6.13
"06/19",6.26
"07/19",6.27
"07/19",6.28
"07/19",6.46
"07/19",6.21
"08/19",6.09
"08/19",5.57
"08/19",5.57
"08/19",5.71
"09/19",5.86
"09/19",5.92
"09/19",6.16
"09/19",5.84
"09/19",5.97
"10/19",6.14
"10/19",6.23
"10/19",6.16
"10/19",6.35
"11/19",6.28
"11/19",6.28
"11/19",6.09
"11/19",6.23
"12/19",6.22
"12/19",6.22
"12/19",6.26
"12/19",6.25
"12/19",6.23
"01/20",6.62
"01/20",6.67
"01/20",6.1
"01/20",6.02
"02/20",6.65
"02/20",6.93
"02/20",7.13
"02/20",6.71
"03/20",7.06
"03/20",6.55
"03/20",5.94
"03/20",6.7
"03/20",6.64
"04/20",6.91
"04/20",7.73
"04/20",7.62
"04/20",7.25
"05/20",7.77
"05/20",8.04
"05/20",8.38
"05/20",9.15
"05/20",8.97
"06/20",9.11
"06/20",9.29
"06/20",9.58
"06/20",9.53
"07/20",10.38
"07/20",9.45
"07/20",9.55
"07/20",9.72
