"Category","Price"
"07/18",12.83
"07/18",12.73
"08/18",12.31
"08/18",11.89
"08/18",11.63
"08/18",10.9
"09/18",9.93
"09/18",9.29
"09/18",9.14
"09/18",8.48
"09/18",7.77
"10/18",7.18
"10/18",6.81
"10/18",6.28
"10/18",6.82
"11/18",6.79
"11/18",6.49
"11/18",6.2
"11/18",6.51
"12/18",5.8
"12/18",5.92
"12/18",4.99
"12/18",5.71
"12/18",5.95
"01/19",6.28
"01/19",6.18
"01/19",6.4
"01/19",6.91
"02/19",9.1
"02/19",9.12
"02/19",9.71
"02/19",9.8
"03/19",9.48
"03/19",11.16
"03/19",10.73
"03/19",11.02
"03/19",11.84
"04/19",11.97
"04/19",11.67
"04/19",10.91
"04/19",11.8
"05/19",10.49
"05/19",11.49
"05/19",11.56
"05/19",11.89
"06/19",13.87
"06/19",13.96
"06/19",14.56
"06/19",14.3
"06/19",15.23
"07/19",15.61
"07/19",14.02
"07/19",17.89
"07/19",17.03
"08/19",16.98
"08/19",15.98
"08/19",15.55
"08/19",15.83
"09/19",16.62
"09/19",16
"09/19",17.04
"09/19",16.02
"09/19",14.52
"10/19",14.16
"10/19",13.52
"10/19",13.96
"10/19",15.18
"11/19",14.19
"11/19",13.94
"11/19",15.26
"11/19",15.25
"12/19",14.74
"12/19",15.09
"12/19",15.55
"12/19",16.03
"12/19",16.75
"01/20",17.41
"01/20",19.11
"01/20",19.05
"01/20",18.38
"02/20",17.13
"02/20",17.56
"02/20",16.7
"02/20",14.17
"03/20",13
"03/20",11.35
"03/20",10.09
"03/20",12.18
"03/20",11.06
"04/20",13.61
"04/20",12.98
"04/20",16
"04/20",16.79
"05/20",18.23
"05/20",17.1
"05/20",17.67
"05/20",18.94
"05/20",20.33
"06/20",20.18
"06/20",22.66
"06/20",23.07
"06/20",23.22
"07/20",25.53
"07/20",24.54
"07/20",22.15
"07/20",22.84
